operator_id,total_incoming_calls,missed_calls,missed_call_rate,avg_waiting_time,total_outgoing_calls,tipo_operador,high_missed_calls,high_waiting_time,low_outgoing_activity,criteria_failed,classification,effective_operator
879896.0,58.0,0.0,0.0,9.89655172413793,872.0,Mixto,False,False,False,0,Desempeño Esperado,True
879898.0,104.0,0.0,0.0,16.153846153846153,7209.0,Mixto,False,False,False,0,Desempeño Esperado,True
880020.0,7.0,0.0,0.0,7.714285714285714,38.0,Mixto,False,False,False,0,Desempeño Esperado,True
880022.0,8.0,0.0,0.0,14.0,189.0,Mixto,False,False,False,0,Desempeño Esperado,True
880026.0,24.0,0.0,0.0,5.958333333333333,2208.0,Mixto,False,False,False,0,Desempeño Esperado,True
880028.0,63.0,0.0,0.0,5.444444444444445,2497.0,Mixto,False,False,False,0,Desempeño Esperado,True
880240.0,,,,,47.0,Solo salientes,False,False,False,0,Desempeño Esperado,True
881278.0,,,,,20.0,Solo salientes,False,False,False,0,Desempeño Esperado,True
882476.0,3.0,0.0,0.0,31.666666666666668,,Solo entrantes,False,True,False,1,Desempeño Bajo,False
882478.0,3.0,0.0,0.0,25.333333333333332,1.0,Mixto,False,True,True,2,Desempeño Deficiente,False
882680.0,99.0,3.0,3.0303030303030303,16.07070707070707,,Solo entrantes,True,False,False,1,Desempeño Bajo,False
882684.0,613.0,4.0,0.6525285481239804,15.539967373572594,661.0,Mixto,False,False,False,0,Desempeño Esperado,True
882686.0,766.0,6.0,0.7832898172323759,14.714099216710183,2884.0,Mixto,True,False,False,1,Desempeño Bajo,False
882688.0,15.0,0.0,0.0,44.86666666666667,43.0,Mixto,False,True,False,1,Desempeño Bajo,False
882690.0,171.0,2.0,1.1695906432748537,41.53216374269006,1417.0,Mixto,True,True,False,2,Desempeño Deficiente,False
883018.0,,,,,2.0,Solo salientes,False,False,True,1,Desempeño Deficiente,False
883898.0,,,,,1.0,Solo salientes,False,False,True,1,Desempeño Deficiente,False
883940.0,6.0,0.0,0.0,12.666666666666666,632.0,Mixto,False,False,False,0,Desempeño Esperado,True
883942.0,77.0,0.0,0.0,7.0519480519480515,2030.0,Mixto,False,False,False,0,Desempeño Esperado,True
884294.0,1.0,0.0,0.0,6.0,,Solo entrantes,False,False,False,0,Desempeño Esperado,True
884402.0,,,,,4.0,Solo salientes,False,False,True,1,Desempeño Deficiente,False
884406.0,,,,,3.0,Solo salientes,False,False,True,1,Desempeño Deficiente,False
884408.0,35.0,4.0,11.428571428571429,26.4,25.0,Mixto,True,True,False,2,Desempeño Deficiente,False
884412.0,18.0,0.0,0.0,41.666666666666664,748.0,Mixto,False,True,False,1,Desempeño Bajo,False
884478.0,22.0,0.0,0.0,14.681818181818182,2270.0,Mixto,False,False,False,0,Desempeño Esperado,True
884524.0,2.0,0.0,0.0,9.5,,Solo entrantes,False,False,False,0,Desempeño Esperado,True
884946.0,12.0,0.0,0.0,13.25,1847.0,Mixto,False,False,False,0,Desempeño Esperado,True
885682.0,,,,,3.0,Solo salientes,False,False,True,1,Desempeño Deficiente,False
885876.0,992.0,20.0,2.0161290322580645,9.089717741935484,58437.0,Mixto,True,False,False,1,Desempeño Bajo,False
885890.0,1244.0,26.0,2.090032154340836,9.088424437299036,58977.0,Mixto,True,False,False,1,Desempeño Bajo,False
886146.0,1.0,0.0,0.0,9.0,49.0,Mixto,False,False,False,0,Desempeño Esperado,True
886674.0,11.0,0.0,0.0,15.272727272727273,,Solo entrantes,False,False,False,0,Desempeño Esperado,True
886892.0,2.0,0.0,0.0,29.0,,Solo entrantes,False,True,False,1,Desempeño Bajo,False
887276.0,431.0,3.0,0.6960556844547563,28.211136890951277,896.0,Mixto,True,True,False,2,Desempeño Deficiente,False
887278.0,52.0,0.0,0.0,17.28846153846154,256.0,Mixto,False,False,False,0,Desempeño Esperado,True
887280.0,,,,,8.0,Solo salientes,False,False,True,1,Desempeño Deficiente,False
887282.0,28.0,0.0,0.0,44.607142857142854,2327.0,Mixto,False,True,False,1,Desempeño Bajo,False
887416.0,18.0,0.0,0.0,16.72222222222222,,Solo entrantes,False,False,False,0,Desempeño Esperado,True
887802.0,16.0,0.0,0.0,13.0625,121.0,Mixto,False,False,False,0,Desempeño Esperado,True
887992.0,,,,,47.0,Solo salientes,False,False,False,0,Desempeño Esperado,True
888406.0,9.0,1.0,11.11111111111111,28.333333333333332,6.0,Mixto,True,True,True,3,Desempeño Crítico,False
888520.0,6.0,0.0,0.0,15.666666666666666,,Solo entrantes,False,False,False,0,Desempeño Esperado,True
888532.0,12.0,2.0,16.666666666666664,24.083333333333332,188.0,Mixto,True,True,False,2,Desempeño Deficiente,False
888534.0,61.0,2.0,3.278688524590164,28.78688524590164,315.0,Mixto,True,True,False,2,Desempeño Deficiente,False
888536.0,2.0,0.0,0.0,21.5,52.0,Mixto,False,False,False,0,Desempeño Esperado,True
888538.0,1.0,0.0,0.0,24.0,5.0,Mixto,False,True,True,2,Desempeño Deficiente,False
888540.0,3.0,0.0,0.0,19.666666666666668,14.0,Mixto,False,False,False,0,Desempeño Esperado,True
888868.0,20.0,1.0,5.0,20.15,52.0,Mixto,True,False,False,1,Desempeño Bajo,False
889410.0,439.0,0.0,0.0,6.325740318906606,1015.0,Mixto,False,False,False,0,Desempeño Esperado,True
889638.0,4.0,0.0,0.0,14.5,,Solo entrantes,False,False,False,0,Desempeño Esperado,True
889640.0,2.0,0.0,0.0,13.5,,Solo entrantes,False,False,False,0,Desempeño Esperado,True
889754.0,480.0,2.0,0.4166666666666667,7.93125,1207.0,Mixto,False,False,False,0,Desempeño Esperado,True
890226.0,3.0,0.0,0.0,27.333333333333332,3.0,Mixto,False,True,True,2,Desempeño Deficiente,False
890228.0,6.0,1.0,16.666666666666664,17.333333333333332,86.0,Mixto,True,False,False,1,Desempeño Bajo,False
890232.0,,,,,33.0,Solo salientes,False,False,False,0,Desempeño Esperado,True
890234.0,,,,,1.0,Solo salientes,False,False,True,1,Desempeño Deficiente,False
890402.0,539.0,0.0,0.0,10.313543599257885,1243.0,Mixto,False,False,False,0,Desempeño Esperado,True
